,IBM,MSFT,AAPL,AMZN,FB
2021-04-05.3. low,133.4000,242.7000,123.0700,3161.2400,300.6800
2021-04-05.4. close,135.9300,249.0700,125.9000,3226.7300,308.9100
2021-04-05.5. volume,5471616,36910609,88651175,3334882,28237006
2021-04-06.1. open,135.5800,247.6100,126.5000,3223.7500,308.8365
2021-04-06.2. high,135.6400,249.4000,127.1300,3247.3100,311.3500
2021-04-06.3. low,134.0900,246.8800,125.6500,3217.0400,305.2500
2021-04-06.4. close,134.2200,247.8600,126.2100,3223.8200,306.2600
2021-04-06.5. volume,3620964,22931923,80171253,2537809,17335246
2021-04-07.1. open,133.8400,247.8100,125.8300,3233.8000,306.3400
2021-04-07.2. high,134.9400,250.9300,127.9200,3303.6125,314.2500
2021-04-07.3. low,133.7800,247.1900,125.1400,3223.6500,305.5000
2021-04-07.4. close,134.9300,249.9000,127.9000,3279.3900,313.0900
2021-04-07.5. volume,2976136,22719835,83466716,3346227,22855241
2021-04-08.1. open,134.5700,252.7700,128.9500,3310.9000,314.8500
2021-04-08.2. high,135.6299,254.1390,130.3900,3324.5000,315.8800
2021-04-08.3. low,134.1600,252.0000,128.5200,3292.0000,310.0500
2021-04-08.4. close,135.1200,253.2500,130.3600,3299.3000,313.0200
2021-04-08.5. volume,4087228,23625197,88844591,2812090,20894148
2021-04-09.1. open,134.8700,252.8700,129.8000,3304.7000,311.4000
2021-04-09.2. high,135.7400,255.9900,133.0400,3372.2000,314.7400
2021-04-09.3. low,134.7100,252.4400,129.4700,3288.9000,310.3300
2021-04-09.4. close,135.7300,255.8500,132.9950,3372.2000,312.4600
2021-04-09.5. volume,3023916,24326833,106686703,4341473,15988568
2021-04-12.1. open,135.0200,254.7100,132.5200,3355.2100,311.0500
2021-04-12.2. high,135.3700,257.6700,132.8500,3395.0400,312.1500
2021-04-12.3. low,133.8500,254.6200,130.6300,3351.1500,307.9300
2021-04-12.4. close,134.5900,255.9100,131.2400,3379.3900,311.5400
2021-04-12.5. volume,3753959,27148668,91419983,3281798,10881935
2021-04-13.1. open,133.0000,257.2573,132.4400,3400.8450,312.2100
2021-04-13.2. high,133.6200,259.1900,134.6600,3432.0000,314.4280
2021-04-13.3. low,130.3800,256.8300,131.9300,3395.6300,309.3200
2021-04-13.4. close,131.1800,258.4900,134.4300,3400.0000,309.7600
2021-04-13.5. volume,8033530,23837469,91266545,3315837,14036927
2021-04-14.1. open,131.3050,257.4750,134.9400,3404.0400,307.3000
2021-04-14.2. high,132.7800,258.8300,135.0000,3404.1300,308.0300
2021-04-14.3. low,130.5200,255.1600,131.6550,3326.0000,301.9500
2021-04-14.4. close,132.6300,255.5900,132.0300,3333.0000,302.8200
2021-04-14.5. volume,5868049,23070938,87222782,3145204,17421393
2021-04-15.1. open,133.2800,257.9310,133.8200,3371.0000,306.3400
2021-04-15.2. high,133.8700,259.9300,135.0000,3396.9999,310.1400
2021-04-15.3. low,132.2200,257.7300,133.6400,3352.0000,304.1000
2021-04-15.4. close,132.5800,259.5000,134.5000,3379.0900,307.8200
2021-04-15.5. volume,3883955,25627481,89347102,3233580,14558273
2021-04-16.1. open,133.0000,259.4700,134.3000,3380.0000,308.1700
2021-04-16.2. high,134.1000,261.0000,134.6700,3406.8000,308.9500
2021-04-16.3. low,132.9500,257.6014,133.2800,3355.5900,304.6100
2021-04-16.4. close,133.5900,260.7400,134.1600,3399.4400,306.1800
2021-04-16.5. volume,5291756,24878582,84922386,3186049,13059163
2021-04-19.1. open,133.6000,260.1900,133.5100,3390.3300,305.0070
2021-04-19.2. high,133.8150,261.4800,135.4700,3435.9333,307.7000
2021-04-19.3. low,132.5800,257.8210,133.3400,3360.1600,300.5600
2021-04-19.4. close,133.1200,258.7400,134.8400,3372.0100,302.2400
2021-04-19.5. volume,8198582,23209260,94264215,2725405,14553507
